Column1,Column2,Column3,Column4,Column5,Column6
97,115,50250,12090,38060,50150
115,32,23274,7448,11184,18633
32,101,19428,6542,11979,18522
101,110,7741,6254,1199,7453
110,32,22990,6939,16736,23675
32,101,10071,7431,3132,10562
115,112,8962,1112,28815,29927
115,112,8962,6237,28815,5126
112,101,21041,6848,14804,21651
101,99,47888,11131,41040,52172
99,105,12201,7795,1069,8864
105,97,21890,11578,14095,25673
97,108,12568,10292,990,11282
108,32,44838,5642,34546,40188
97,32,13498,1158,29598,30757
97,32,13498,7251,29598,6092
32,108,37964,11380,30714,42094
108,97,16507,10285,5127,15412
97,115,24472,6754,14187,20942
115,32,37367,7862,30613,38474
32,110,22679,3106,14817,17923
110,105,22643,8994,19537,28531
105,59,59816,7457,50821,58278
59,97,25285,13195,17828,31023
97,115,27902,11276,14707,25983
32,112,51863,6453,44694,51147
112,117,32037,6335,25583,31919
117,101,13590,9368,7254,16622
101,115,28705,12481,19337,31818
115,32,24770,6447,12288,18736
115,111,19125,9060,5725,14785
111,110,21034,8064,11974,20038
110,32,22158,6856,14094,20950
32,112,30112,7160,23256,30416
112,111,21862,3221,14703,17924
111,99,30109,14098,26888,40985
111,115,23049,12293,15499,27792
115,32,16012,6093,3719,9812
32,108,27492,4754,21399,26152
108,111,20565,6030,15811,21841
111,115,24754,10881,18724,29605
115,32,14199,6043,3319,9362
32,109,19436,5951,13393,19344
109,111,23174,6639,17223,23862
111,100,15196,2317,8558,10875
100,101,15722,8953,13405,22358
101,108,15291,5653,6338,11991
108,111,23572,4432,17919,22350
115,32,29889,6751,15104,21855
102,101,21399,7557,11978,19535
101,109,12592,8367,5035,13403
109,101,9162,7254,794,8048
101,110,15508,5945,8254,14199
110,105,21255,7050,15310,22360
105,110,23661,6342,16611,22952
110,111,21458,7762,15116,22879
111,115,14205,11270,6443,17714
115,32,15002,12282,3731,16013
101,110,8723,1184,16713,17897
101,110,8723,5941,16713,4757
110,32,19135,5740,13194,18934
32,108,23157,7474,17417,24891
108,97,20643,10380,13169,23549
97,32,19037,11588,8657,20246
32,114,18934,9978,7346,17323
114,97,32324,11610,22347,33957
97,109,14205,7355,2595,9950
109,97,9059,11680,1705,13385
97,32,15412,8358,3731,12089
32,100,20034,5442,11676,17118
100,101,18839,6245,13397,19642
101,32,6947,6552,702,7254
32,108,21450,11281,14898,26179
108,97,12184,9569,903,10472
97,115,21752,6652,12183,18834
32,99,7459,1100,16622,17722
32,99,7459,7140,16622,6040
99,105,14791,9574,7651,17225
105,101,15820,9969,6246,16216
101,110,12281,7460,2311,9772
110,99,14097,11692,6636,18328
99,105,12374,8582,683,9265
105,97,21294,10851,12712,23563
97,115,21941,12082,11090,23172
115,32,13884,12692,1802,14494
32,101,17626,5942,4934,10875
101,120,24874,11189,18932,30121
120,97,44029,11664,32839,44504
97,99,29278,9777,17614,27391
99,116,42511,7455,32734,40189
116,97,11680,10068,4225,14293
97,115,21758,14904,11690,26594
44,32,27690,7750,20549,28299
116,97,37448,13774,31139,44914
97,109,20525,9869,6750,16619
109,98,27184,2325,17315,19641
98,105,22980,6538,20655,27192
105,101,41280,17727,34743,52470
101,110,29509,8770,11782,20552
110,32,24461,9070,15691,24761
115,105,20020,6955,5735,12690
105,101,13191,14017,6236,20253
101,110,14842,9737,825,10562
110,116,17790,10774,8053,18828
116,111,23564,8765,12789,21555
111,32,30818,6247,22053,28300
32,113,16916,13906,10669,24574
113,117,20646,8361,6740,15101
117,101,31642,11669,23280,34949
101,32,20128,8671,8460,17131
32,115,23865,13396,15194,28590
111,121,32425,5460,24767,30227
121,32,34449,14704,28989,43693
32,32,33829,14407,12266,26673
32,32,29393,11456,27124,38580
32,32,22429,11680,10973,22654
32,32,17210,14214,5530,19743
32,32,25690,11576,11477,23053
32,32,25469,8081,13892,21973
32,32,38077,15710,29996,45707
101,115,22433,9666,13292,22958
115,116,13497,5438,3831,9269
116,97,12685,11481,7247,18728
97,32,12481,7759,1001,8759
99,97,5471,1076,18158,19234
99,97,5471,11352,18158,10276
97,114,20310,4738,8958,13695
114,114,18236,4927,13498,18425
114,101,14827,8031,9900,17931
101,114,22125,5943,14094,20037
114,97,17835,13496,11893,25389
97,32,20252,9853,6756,16609
32,116,23844,7258,13991,21249
116,97,12190,14913,4933,19846
97,109,21250,9074,6337,15411
109,98,30915,6148,21841,27989
98,105,19638,7254,13490,20743
105,101,11883,9070,4630,13699
101,110,15312,4649,6243,10892
110,32,18828,7861,14178,22039
32,108,23364,6948,15503,22451
108,97,17826,11279,10878,22157
97,32,12479,6856,1200,8056
32,101,18637,9971,11782,21752
101,108,10673,7657,702,8359
108,101,12890,5140,5233,10373
101,103,17021,6453,11881,18333
103,105,24585,7845,18132,25977
105,32,24666,6476,16821,23297
32,112,28103,3118,21627,24745
112,111,47026,11784,43908,55692
114,113,29106,11688,20947,32635
113,117,17219,4482,5532,10014
117,101,10572,9781,6090,15871
101,32,14601,8159,4820,12979
32,99,20144,11284,11985,23268
99,111,14599,6858,3315,10173
111,110,25799,5631,18941,24573
110,115,12671,8165,7040,15205
115,105,8862,5648,697,6345
105,100,12791,7454,7143,14597
100,101,17727,7960,10273,18232
101,114,17318,10581,9359,19940
114,111,14302,4638,3720,8359
111,32,26085,9169,21446,30616
32,113,10573,10806,1404,12210
113,117,16116,6655,5310,11965
117,101,10770,10683,4115,14798
101,32,16218,7357,5535,12891
32,102,8964,10672,1607,12279
102,117,17825,6850,7153,14003
117,101,13722,9344,6872,16216
101,32,18003,6947,8660,15606
121,32,22354,7159,17317,24476
32,101,7854,7961,695,8656
101,115,22256,9474,14296,23769
115,32,10968,6365,1494,7860
32,101,14412,11581,8047,19628
