@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1111111'}

@DATA
104,101,14395,9585,6367,15951,1111111
101,108,26390,7198,16805,24002,1111111
108,108,12007,9595,4809,14404,1111111
108,111,19990,8014,10394,18409,1111111
111,32,23991,12821,15977,28797,1111111
104,101,14394,10397,6421,16818,1111111
101,108,23206,6401,12809,19210,1111111
108,108,12799,8798,6398,15196,1111111
104,101,9589,9606,2399,12005,1111111
101,108,22410,7187,12804,19991,1111111
108,108,11988,9609,4800,14409,1111111
108,111,18419,7984,8810,16795,1111111
111,32,17586,15205,9601,24807,1111111
32,104,28815,7187,13610,20797,1111111
104,101,15993,11166,8806,19972,1111111
101,108,27219,7985,16053,24038,1111111
108,108,14377,8795,6392,15187,1111111
108,111,20012,8783,11217,20000,1111111
111,32,27183,13603,18400,32004,1111111
32,104,43206,7201,29603,36804,1111111
104,101,13593,11204,6392,17596,1111111
101,108,20798,6394,9594,15988,1111111
108,108,12809,8804,6415,15218,1111111
108,111,19188,8809,10385,19193,1111111
111,32,15995,13585,7187,20771,1111111
32,104,28823,8029,15239,23267,1111111
104,101,14395,9585,6367,15951,1111111
101,108,26390,7198,16805,24002,1111111
108,108,12007,9595,4809,14404,1111111
108,111,19990,8014,10394,18409,1111111
111,32,23991,12821,15977,28797,1111111
104,101,14394,10397,6421,16818,1111111
101,108,23206,6401,12809,19210,1111111
108,108,12799,8798,6398,15196,1111111
108,111,19203,8815,10405,19220,1111111
111,32,19256,15102,10441,25543,1111111
104,101,11988,11201,4794,15995,1111111
101,108,27221,7223,16020,23243,1111111
108,108,13590,7197,6367,13564,1111111
108,111,17622,7968,10425,18393,1111111
111,32,18384,13588,10417,24005,1111111
32,104,29582,8797,15993,24791,1111111
104,101,24812,19207,16015,35221,1111111
104,101,9589,9606,2399,12005,1111111
