@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
i,l,17660,11140,12110,23250,1140196
l,d,19180,9530,8040,17570,1140196
d,i,18410,7950,8880,16830,1140196
i,n,28000,10340,20050,30390,1140196
n,g,14390,11120,4050,15170,1140196
g,space,15180,8770,4060,12830,1140196
space,rightarrow,444020,11160,435250,446410,1140196
rightarrow,space,16000,13530,4840,18370,1140196
space,p,234360,8790,220830,229620,1140196
p,l,20040,10340,11250,21590,1140196
l,a,12000,15960,1660,17620,1140196
a,t,22540,6980,6580,13560,1140196
t,f,23860,11980,16880,28860,1140196
f,o,21540,7200,9560,16760,1140196
o,r,11260,12740,4060,16800,1140196
r,m,18400,8750,5660,14410,1140196
m,space,11990,16770,3240,20010,1140196
space,f,24810,11160,8040,19200,1140196
f,o,13590,8760,2430,11190,1140196
r,space,7230,3140,11220,14360,1140196
space,m,17640,10370,5680,16050,1140196
backspace,space,16040,11930,6440,18370,1140196
shift,shift,29670,4710,97690,102400,1140196
shift,space,13580,13550,3280,16830,1140196
space,r,20010,10340,6460,16800,1140196
r,e,21600,16700,11260,27960,1140196
e,a,19160,19180,2460,21640,1140196
a,l,20830,6350,1650,8000,1140196
l,l,12800,11120,6450,17570,1140196
l,y,16000,11170,4880,16050,1140196
y,space,16800,8750,5630,14380,1140196
space,a,15210,18330,6460,24790,1140196
a,p,19940,6410,1610,8020,1140196
p,p,12850,10360,6440,16800,1140196
p,r,14410,8760,4050,12810,1140196
r,e,19150,10390,10390,20780,1140196
e,c,26440,9560,16050,25610,1140196
c,i,12890,8620,3330,11950,1140196
i,a,15880,15980,7260,23240,1140196
a,t,18430,9560,2450,12010,1140196
t,e,14400,9560,4840,14400,1140196
e,space,12000,9530,2440,11970,1140196
space,t,16800,8750,7270,16020,1140196
h,e,11150,1560,20800,22360,1140196
e,space,9610,2360,8050,10410,1140196
space,t,18470,11120,5680,16800,1140196
t,i,17570,7960,6450,14410,1140196
m,e,12000,1540,24040,25580,1140196
e,space,9610,2340,8070,10410,1140196
space,t,25610,7930,13700,21630,1140196
t,h,16790,13530,8860,22390,1140196
a,t,9610,3950,12080,16030,1140196
t,space,13570,12730,4850,17580,1140196
shift,shift,20010,3140,32890,36030,1140196
shift,space,13590,15140,4860,20000,1140196
space,h,23200,11150,8060,19210,1140196
a,d,14420,4740,17660,22400,1140196
d,space,11150,2360,6410,8770,1140196
space,i,28050,7940,18500,26440,1140196
i,n,23200,11940,15260,27200,1140196
n,space,15180,10350,3240,13590,1140196
space,t,24820,9530,14470,24000,1140196
t,h,18330,12010,8800,20810,1140196
e,space,8010,2330,10460,12790,1140196
backspace,a,12750,15230,3240,18470,1140196
a,r,30450,10350,15220,25570,1140196
backspace,t,19250,10330,12890,23220,1140196
t,space,15180,12750,4850,17600,1140196
shift,shift,16810,5530,33660,39190,1140196
shift,c,19160,3160,13630,16790,1140196
c,h,17590,8800,2440,11240,1140196
h,o,76020,6350,67220,73570,1140196
o,o,13630,9550,7280,16830,1140196
o,l,21550,8840,12000,20840,1140196
l,l,26450,8740,17610,26350,1140196
l,space,14400,9550,5660,15210,1140196
shift,shift,24840,2300,36880,39180,1140196
space,w,11250,2330,16060,18390,1140196
a,s,13610,10310,24070,34380,1140196
s,space,16750,2380,6440,8820,1140196
a,l,9570,8740,16860,25600,1140196
l,w,23150,14390,9620,24010,1140196
w,a,24040,19910,9650,29560,1140196
a,t,24800,8750,4890,13640,1140196
t,s,20800,15950,12050,28000,1140196
backspace,y,87260,8750,77660,86410,1140196
s,space,14380,1550,16020,17570,1140196
a,space,13620,3940,18460,22400,1140196
space,g,69550,13590,58420,72010,1140196
g,o,25650,7130,12060,19190,1140196
o,o,12780,10350,5650,16000,1140196
o,space,26410,12750,16060,28810,1140196
space,l,35160,7990,22410,30400,1140196
a,d,20840,3120,27290,30410,1140196
d,d,24750,9560,12850,22410,1140196
d,space,16000,8720,6440,15160,1140196
space,enter,223160,11200,214440,225640,1140196
shift,shift,24820,6310,44870,51180,1140196
shift,o,19180,11130,7270,18400,1140196
o,w,55200,12740,44070,56810,1140196
shift,shift,24020,3120,32860,35980,1140196
shift,space,16020,12720,5710,18430,1140196
space,a,62320,16810,49600,66410,1140196
a,m,19250,7950,2440,10390,1140196
m,space,12790,10360,4840,15200,1140196
space,s,14420,15940,4060,20000,1140196
s,t,17590,7150,1650,8800,1140196
t,u,18400,9550,11250,20800,1140196
u,d,15200,11910,5650,17560,1140196
d,i,24000,7960,12090,20050,1140196
i,y,44040,7910,36080,43990,1140196
y,i,28090,6210,20180,26390,1140196
i,n,22280,10340,16070,26410,1140196
n,g,12790,8740,2450,11190,1140196
g,space,15200,9530,6460,15990,1140196
space,i,20000,7950,10470,18420,1140196
i,n,21590,11940,13640,25580,1140196
n,space,14410,8730,2470,11200,1140196
space,t,22430,6330,13700,20030,1140196
t,h,17580,12750,11250,24000,1140196
e,space,7980,2350,10420,12770,1140196
space,u,73630,7140,63270,70410,1140196
u,n,19190,8730,12050,20780,1140196
n,i,20010,7940,11280,19220,1140196
i,v,25560,7930,17620,25550,1140196
v,e,11230,9560,3300,12860,1140196
e,r,18460,9480,8900,18380,1140196
r,s,21540,11960,12060,24020,1140196
s,i,13600,7120,1640,8760,1140196
i,t,16000,9550,8880,18430,1140196
t,y,12000,7100,2450,9550,1140196
y,space,11150,12800,4050,16850,1140196
space,o,23250,9540,10450,19990,1140196
o,g,27210,10330,17670,28000,1140196
g,space,12790,13510,2460,15970,1140196
shift,shift,19160,3160,28850,32010,1140196
shift,o,54450,8740,39260,48000,1140196
o,n,18390,11960,9650,21610,1140196
n,t,27960,7990,16000,23990,1140196
t,e,14460,11130,6470,17600,1140196
e,m,15980,8750,4850,13600,1140196
m,o,26440,7110,17690,24800,1140196
r,e,10420,5530,14460,19990,1140196
e,l,9550,6390,4020,10410,1140196
l,o,16050,7940,8080,16020,1140196
o,s,10390,13570,2450,16020,1140196
s,s,808000,8740,794430,803170,1140196
s,space,14390,11110,5650,16760,1140196
shift,shift,24120,4620,181020,185640,1140196
shift,space,12670,13560,2420,15980,1140196
space,h,23960,9580,10400,19980,1140196
a,v,11150,4760,17610,22370,1140196
v,e,17650,11940,7250,19190,1140196
e,space,83140,7980,71200,79180,1140196
space,b,20060,8740,12080,20820,1140196
b,e,16000,9560,7260,16820,1140196
e,e,16000,10350,6440,16790,1140196
e,n,17620,13520,7270,20790,1140196
n,space,15150,10330,1630,11960,1140196
space,e,40870,4710,30540,35250,1140196
backspace,h,60810,8730,49670,58400,1140196
h,e,11990,10330,3260,13590,1140196
e,r,20760,9560,10430,19990,1140196
r,e,18440,12750,8880,21630,1140196
e,space,20000,11920,7250,19170,1140196
space,i,19960,7990,8040,16030,1140196
i,n,20040,11130,12050,23180,1140196
n,space,13590,9530,2460,11990,1140196
shift,shift,15240,3950,24870,28820,1140196
shift,e,13610,1530,9660,11190,1140196
e,x,31200,11950,20060,32010,1140196
x,i,21560,7950,9610,17560,1140196
i,c,10380,11180,2430,13610,1140196
c,o,12830,7980,1650,9630,1140196
o,space,12820,13550,4840,18390,1140196
f,o,11200,2340,17660,20000,1140196
o,r,15990,9540,4840,14380,1140196
r,space,12100,9440,2560,12000,1140196
space,a,17500,17520,8060,25580,1140196
a,b,24800,8760,7280,16040,1140196
b,o,28810,7140,20050,27190,1140196
o,u,27200,8700,20060,28760,1140196
u,t,15170,11190,6470,17660,1140196
t,space,15230,9540,4040,13580,1140196
space,t,26400,8740,16860,25600,1140196
t,h,19180,11160,10440,21600,1140196
backspace,f,130410,11140,120080,131220,1140196
f,i,18390,7920,7250,15170,1140196
i,v,25610,9540,17690,27230,1140196
v,e,12080,10260,2540,12800,1140196
e,space,13520,9580,3260,12840,1140196
space,y,19140,8000,9560,17560,1140196
e,a,13610,1530,17660,19190,1140196
a,r,20770,1540,19240,20780,1140196
r,s,15260,11880,8090,19970,1140196
s,space,14360,7940,2480,10420,1140196
space,a,16000,15120,8060,23180,1140196
a,l,17550,6380,2430,8810,1140196
l,r,19250,8730,12870,21600,1140196
r,e,19960,13590,11230,24820,1140196
a,d,19270,6330,24070,30400,1140196
d,y,8780,3950,2450,6400,1140196
y,y,42410,7910,36870,44780,1140196
y,space,12790,11140,4880,16020,1140196
shift,shift,26360,1550,76820,78370,1140196
shift,space,15240,14400,6490,20890,1140196
space,w,132810,15940,118410,134350,1140196
a,s,12820,11920,20060,31980,1140196
s,space,22350,11180,2460,13640,1140196
a,space,18400,1540,21660,23200,1140196
space,b,21610,11940,13660,25600,1140196
b,i,61590,7940,49650,57590,1140196
i,t,14400,11950,6460,18410,1140196
t,space,16800,9540,4850,14390,1140196
space,n,96800,8750,87260,96010,1140196
n,e,19200,14340,10450,24790,1140196
e,r,26390,10320,12050,22370,1140196
r,v,35960,11200,25640,36840,1140196
v,o,19250,7940,8050,15990,1140196
o,u,25590,7950,17650,25600,1140196
u,s,17650,14270,9700,23970,1140196
s,space,19950,9540,5680,15220,1140196
space,a,15200,15140,5660,20800,1140196
a,t,32850,7110,17710,24820,1140196
t,space,16750,11150,9640,20790,1140196
space,t,19950,7970,8800,16770,1140196
t,h,16880,12720,8910,21630,1140196
e,space,7210,3150,9660,12810,1140196
space,n,16790,9550,8070,17620,1140196
n,e,12020,11920,2470,14390,1140196
backspace,b,48100,8640,36970,45610,1140196
b,e,15100,11140,6460,17600,1140196
e,g,44000,7940,32860,40800,1140196
g,i,17590,8710,9650,18360,1140196
i,n,24800,8750,16090,24840,1140196
n,i,40800,7950,32050,40000,1140196
backspace,n,62420,7130,52870,60000,1140196
n,n,15190,10350,8060,18410,1140196
n,i,20800,10340,10450,20790,1140196
g,n,7950,3960,20020,23980,1140196
backspace,n,59280,8730,49680,58410,1140196
n,g,11170,9560,2440,12000,1140196
g,space,15210,9530,5650,15180,1140196
space,b,84010,11940,74480,86420,1140196
b,u,19190,7900,7250,15150,1140196
t,space,11240,2340,16100,18440,1140196
space,n,49600,11140,38460,49600,1140196
n,o,27990,10310,16850,27160,1140196
o,w,16770,11180,6460,17640,1140196
w,space,16860,10320,5680,16000,1140196
shift,shift,23200,5560,37660,43220,1140196
shift,space,18390,11920,7260,19180,1140196
space,h,26410,9520,14490,24010,1140196
a,v,9580,7130,60880,68010,1140196
v,e,19960,11180,9660,20840,1140196
e,space,15220,11960,4040,16000,1140196
space,g,14410,11140,2450,13590,1140196
g,o,19210,9540,8070,17610,1140196
o,t,36790,7900,27250,35150,1140196
t,t,14360,9590,6460,16050,1140196
t,e,13640,10350,4050,14400,1140196
e,n,18360,9590,8010,17600,1140196
n,space,12850,13530,3260,16790,1140196
space,u,23190,8750,9660,18410,1140196
u,s,15210,13530,6460,19990,1140196
s,e,47210,9500,33680,43180,1140196
e,d,19980,11150,10480,21630,1140196
d,space,14400,11150,3250,14400,1140196
space,t,16760,9550,5610,15160,1140196
t,o,16000,10390,6450,16840,1140196
o,space,16830,11990,6440,18430,1140196
space,i,22410,10310,10420,20730,1140196
i,t,11960,11190,1650,12840,1140196
t,t,17640,11140,6450,17590,1140196
t,space,15200,10310,4060,14370,1140196
shift,shift,20790,5560,67290,72850,1140196
shift,t,28010,10320,15270,25590,1140196
t,space,16790,12750,6470,19220,1140196
space,i,103220,9530,90470,100000,1140196
i,s,14380,15150,4850,20000,1140196
s,space,17590,11160,2440,13600,1140196
a,c,23190,2330,28860,31190,1140196
c,t,23190,11140,9700,20840,1140196
t,u,24800,10360,13660,24020,1140196
u,a,40800,15120,30440,45560,1140196
a,l,20800,7910,5680,13590,1140196
l,l,14360,9590,6450,16040,1140196
l,y,30450,10330,20860,31190,1140196
y,space,14380,12760,4050,16810,1140196
space,o,23220,9520,10460,19980,1140196
o,n,23950,11180,14430,25610,1140196
n,e,16030,11930,4850,16780,1140196
e,space,13600,5580,1670,7250,1140196
space,o,13600,11160,8020,19180,1140196
o,f,16800,11160,5640,16800,1140196
f,space,14400,12760,3240,16000,1140196
space,m,115240,8690,102480,111170,1140196
m,y,51980,10330,43290,53620,1140196
y,space,17580,11950,7250,19200,1140196
space,b,23300,9440,11350,20790,1140196
b,i,27100,7930,17660,25590,1140196
i,g,24010,8730,16080,24810,1140196
g,g,14390,9560,5660,15220,1140196
g,e,13600,10350,4040,14390,1140196
e,s,24010,10300,13660,23960,1140196
s,t,19940,10390,9640,20030,1140196
t,space,20000,11200,9610,20810,1140196
space,a,20210,17420,9010,26430,1140196
a,c,23040,11950,5620,17570,1140196
c,h,14390,10340,2440,12780,1140196
h,i,28010,8750,17670,26420,1140196
i,e,17560,10390,8810,19200,1140196
e,v,17630,8760,7240,16000,1140196
v,e,11200,10350,2440,12790,1140196
e,n,18410,9550,8060,17610,1140196
n,t,19940,10390,10390,20780,1140196
t,s,39220,11190,28830,40020,1140196
s,space,16040,8750,4850,13600,1140196
space,i,17600,8750,8850,17600,1140196
i,n,22390,10320,13640,23960,1140196
n,space,13570,11190,3250,14440,1140196
space,l,24030,9560,12840,22400,1140196
l,i,21610,9560,12050,21610,1140196
i,f,37610,10300,28050,38350,1140196
f,e,14350,11990,4050,16040,1140196
e,space,16040,11170,4050,15220,1140196
space,t,12810,11940,1640,13580,1140196
t,o,16780,9530,4840,14370,1140196
o,space,16810,12740,7280,20020,1140196
space,h,26390,10320,13650,23970,1140196
a,v,13600,3960,19250,23210,1140196
v,e,16850,7130,7280,14410,1140196
e,space,10400,11910,3270,15180,1140196
space,f,16740,10400,4830,15230,1140196
f,i,12840,7150,2440,9590,1140196
i,n,18360,10370,11210,21580,1140196
n,i,20040,11130,9670,20800,1140196
i,s,15200,11160,4070,15230,1140196
s,h,13610,10350,2450,12800,1140196
h,e,13600,9510,3250,12760,1140196
e,d,20000,10350,10490,20840,1140196
d,space,15950,12770,5600,18370,1140196
space,m,24850,15950,12080,28030,1140196
m,y,30400,8740,14450,23190,1140196
y,space,17590,14330,8850,23180,1140196
c,a,12950,1450,30580,32030,1140196
a,r,26300,8750,6450,15200,1140196
r,e,34410,9530,25660,35190,1140196
e,e,15940,10370,6410,16780,1140196
e,r,19250,9550,8880,18430,1140196
r,space,19990,11960,10440,22400,1140196
f,r,15940,8750,55200,63950,1140196
r,o,17650,3140,8900,12040,1140196
o,m,22400,13550,13670,27220,1140196
m,space,16780,12760,3230,15990,1140196
space,t,189620,7930,176860,184790,1140196
t,h,18400,11140,10470,21610,1140196
h,i,27210,7900,16070,23970,1140196
s,space,11230,3930,17680,21610,1140196
space,u,20810,8730,9660,18390,1140196
u,n,18390,9560,9660,19220,1140196
n,i,22400,7950,12840,20790,1140196
i,v,25540,7990,17590,25580,1140196
v,e,10460,7950,2470,10420,1140196
e,r,16760,9600,8810,18410,1140196
r,s,23250,11150,13650,24800,1140196
s,i,13590,7940,2440,10380,1140196
i,t,20010,8720,12070,20790,1140196
t,y,12750,7970,4030,12000,1140196
y,y,46450,9540,38480,48020,1140196
y,space,11200,10340,1660,12000,1140196
shift,shift,23120,5600,81600,87200,1140196
shift,space,16050,13550,4060,17610,1140196
space,w,561610,19930,548060,567990,1140196
w,r,37580,10360,17650,28010,1140196
r,o,16810,8710,6450,15160,1140196
o,t,30410,9530,21700,31230,1140196
e,space,11220,1540,16060,17600,1140196
a,l,16010,2340,22450,24790,1140196
l,l,14400,11110,5660,16770,1140196
l,space,17550,11190,6440,17630,1140196
space,t,27250,9540,16060,25600,1140196
t,h,18390,11160,8850,20010,1140196
h,e,13610,8730,2450,11180,1140196
e,s,23190,11920,14460,26380,1140196
s,e,23960,7990,12040,20030,1140196
e,space,51270,11120,43280,54400,1140196
space,t,15170,11150,4050,15200,1140196
t,o,18490,4620,7340,11960,1140196
o,space,42330,11130,37710,48840,1140196
space,t,24800,8730,13670,22400,1140196
t,e,13580,11940,4850,16790,1140196
e,s,24750,11190,12810,24000,1140196
s,t,15200,10400,4010,14410,1140196
t,space,16850,10350,6450,16800,1140196
space,m,25600,10350,15250,25600,1140196
m,y,28800,7960,18450,26410,1140196
y,space,14350,13610,6390,20000,1140196
space,t,20850,9510,7240,16750,1140196
t,y,20000,11950,10490,22440,1140196
y,p,41600,9540,29650,39190,1140196
p,i,23160,8790,13620,22410,1140196
i,n,24030,10350,15240,25590,1140196
n,g,12810,10350,2460,12810,1140196
g,space,12800,11150,2450,13600,1140196
space,s,24000,10350,12850,23200,1140196
s,c,25580,11170,15230,26400,1140196
c,k,21590,9620,10420,20040,1140196
k,i,35230,8750,25610,34360,1140196
backspace,k,63940,8000,52030,60030,1140196
k,i,18460,7960,10460,18420,1140196
i,l,24740,7180,16780,23960,1140196
l,l,12810,9590,5630,15220,1140196
l,s,12050,12750,2460,15210,1140196
s,s,20810,10330,8060,18390,1140196
s,space,18340,12010,8010,20020,1140196
shift,shift,21610,3940,103240,107180,1140196
shift,h,15940,12780,4000,16780,1140196
a,n,7210,9550,12880,22430,1140196
