@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
h,e,14450,8720,2470,11190,1140196
e,space,15140,9610,6420,16030,1140196
space,f,12870,11120,3260,14380,1140196
f,i,18390,7940,7270,15210,1140196
i,r,11180,8750,3240,11990,1140196
backspace,e,15970,10380,8060,18440,1140196
e,l,20040,9540,9660,19200,1140196
l,d,24790,9560,15250,24810,1140196
d,space,16810,11120,7250,18370,1140196
space,o,19980,9530,8860,18390,1140196
o,f,17590,10360,8060,18420,1140196
f,space,16830,10330,6470,16800,1140196
space,t,29600,7150,19270,26420,1140196
t,e,9600,9540,2450,11990,1140196
e,c,28740,10390,19200,29590,1140196
c,h,93660,9510,83270,92780,1140196
h,n,19210,10330,9700,20030,1140196
n,o,28810,7920,18480,26400,1140196
o,l,24780,10340,16860,27200,1140196
l,o,20000,9550,9660,19210,1140196
o,g,32790,11950,23240,35190,1140196
g,y,20910,8640,8960,17600,1140196
y,y,81450,8760,72810,81570,1140196
y,space,18450,8730,9690,18420,1140196
shift,shift,35210,7130,628880,636010,1140196
shift,space,15180,16720,4860,21580,1140196
space,t,35200,11140,18480,29620,1140196
t,h,13600,9550,2460,12010,1140196
h,i,23200,8710,13650,22360,1140196
i,n,23210,10320,14500,24820,1140196
n,k,23150,10380,12830,23210,1140196
k,space,14440,13540,4060,17600,1140196
space,w,118430,13500,104890,118390,1140196
w,o,19170,7940,5670,13610,1140196
o,r,14400,11140,6460,17600,1140196
r,l,35170,8760,24030,32790,1140196
l,d,16050,8730,7290,16020,1140196
d,space,15980,8750,7250,16000,1140196
space,i,17610,9530,8860,18390,1140196
i,s,16790,9550,7260,16810,1140196
s,space,13600,11900,4050,15950,1140196
a,space,12050,3140,18500,21640,1140196
space,b,25610,8730,16870,25600,1140196
b,e,14380,8740,5650,14390,1140196
e,t,24800,6340,16060,22400,1140196
t,t,12760,10360,6420,16780,1140196
t,e,15250,9530,4890,14420,1140196
e,r,20000,9560,10470,20030,1140196
r,space,17600,11140,8040,19180,1140196
space,p,35210,7140,24070,31210,1140196
p,l,19930,10370,12790,23160,1140196
l,a,18460,15130,8090,23220,1140196
a,c,24800,7140,9670,16810,1140196
c,e,13620,10320,6480,16800,1140196
e,space,15180,9540,4860,14400,1140196
space,i,19930,9590,10390,19980,1140196
i,f,18410,10410,8820,19230,1140196
f,space,15260,11940,4850,16790,1140196
space,w,84010,10290,72070,82360,1140196
w,e,20780,10350,10490,20840,1140196
e,space,16010,10330,5660,15990,1140196
c,a,14360,3100,20120,23220,1140196
a,n,14380,3920,11280,15200,1140196
n,space,15120,7180,5650,12830,1140196
space,l,17640,11140,10460,21600,1140196
l,i,24800,7940,13660,21600,1140196
i,v,28100,8640,20160,28800,1140196
v,e,13500,10300,4860,15160,1140196
e,space,16810,7140,6510,13650,1140196
space,i,16800,9510,9660,19170,1140196
i,n,23200,11140,13690,24830,1140196
n,space,15200,9530,4060,13590,1140196
space,h,22400,9490,12870,22360,1140196
h,a,15170,12760,5680,18440,1140196
a,r,24820,10340,12060,22400,1140196
r,m,16000,15150,5660,20810,1140196
m,o,20800,10340,5650,15990,1140196
o,n,25690,10210,15350,25560,1140196
n,y,23110,11940,12900,24840,1140196
y,space,17620,12720,5680,18400,1140196
